"Step 1: Create a test page with as many widgets from the ""CMS"" column as possible",,,,,,,,,,,,,,,,,,
"Step 2: Change a variable from the ""Variable"" column and test all relevant components on the test page",,,,,,,,,,,,,,,,,,
Step 3: Repeat step 2 with a different variable/variant,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Variable,Opacity,CMS,Component,Sub-component,320px,375px,>375px & <1440px,1440px,>1440px & < 2560px,2560px,2560px+,Primary browser,Secondary browser,Secondary size,Mobile,Tablet,BugHerd ID(s),Comments
branding 1,,ct stats + text,ct stats carousel card half (left) - card,stat - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 4,,stats grid,stats grid - card,stat - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,stats grid,stats grid - card,stat - description,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 3,,stats grid,stats grid - card,stat - figure,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,stats grid,stats grid - card,stat - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,portals carousel,portals carousel (variant 1) - card,portal icon on light (variant 1) - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,portals carousel,portals carousel (variant 1) - card,portal icon on light (variant 1) - read more icon,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,portals carousel,portals carousel (variant 1) - card,portal icon on light (variant 1) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,portals carousel,portals carousel (variant 1) - card,portal icon on light (variant 2) - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,portals carousel,portals carousel (variant 1) - card,portal icon on light (variant 2) - read more icon,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,portals carousel,portals carousel (variant 1) - card,portal icon on light (variant 2) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,portals carousel,portals carousel (variant 1) - card,portal icon on light (variant 3) - read more icon,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,portals carousel,portals carousel (variant 1) - card,portal icon on light (variant 3) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,portals carousel,portals carousel (variant 2) - card,portal icon on light (variant 1) - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,portals carousel,portals carousel (variant 2) - card,portal icon on light (variant 1) - read more icon,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,portals carousel,portals carousel (variant 2) - card,portal icon on light (variant 1) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,portals carousel,portals carousel (variant 2) - card,portal icon on light (variant 2) - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,portals carousel,portals carousel (variant 2) - card,portal icon on light (variant 2) - read more icon,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,portals carousel,portals carousel (variant 2) - card,portal icon on light (variant 2) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,portals carousel,portals carousel (variant 2) - card,portal icon on light (variant 3) - read more icon,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,portals carousel,portals carousel (variant 2) - card,portal icon on light (variant 3) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,portals carousel,portals carousel (variant 3) - card,portal icon on light (variant 1) - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,portals carousel,portals carousel (variant 3) - card,portal icon on light (variant 1) - read more icon,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,portals carousel,portals carousel (variant 3) - card,portal icon on light (variant 1) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,portals carousel,portals carousel (variant 3) - card,portal icon on light (variant 2) - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,portals carousel,portals carousel (variant 3) - card,portal icon on light (variant 2) - read more icon,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,portals carousel,portals carousel (variant 3) - card,portal icon on light (variant 2) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,portals carousel,portals carousel (variant 3) - card,portal icon on light (variant 3) - read more icon,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,portals carousel,portals carousel (variant 3) - card,portal icon on light (variant 3) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
